garden_area,terrace_area,locality,type_of_property,subtype_of_property,type_of_sale,zip_code,url,state_of_the_building,terrace,open_fire,swimming_pool,price,garden,number_of_facades,number_of_rooms,fully_equipped_kitchen,area,furnished,surface_of_the_land,area_text,bid,equipped_kitchen
0,0,westende,apartment,flat-studio,for-sale,8434,https://www.immoweb.be/en/classified/flat-studio/for-sale/westende/8434/10104740?searchId=633aeaf0f074c,good,0,0,0,70000,0,2,,,24,1,0,numeric,0,
0,0,oostende,apartment,flat-studio,for-sale,8400,https://www.immoweb.be/en/classified/flat-studio/for-sale/oostende/8400/10043426?searchId=633aeaf0f074c,not mentioned,0,0,0,85000,0,,,,27,,0,numeric,0,
0,0,middelkerke,apartment,flat-studio,for-sale,8430,https://www.immoweb.be/en/classified/flat-studio/for-sale/middelkerke/8430/10113899?searchId=633aeaf0f074c,to renovate,0,0,0,90000,0,2,,Installed,28,1,0,numeric,0,1.0
0,0,overpelt,apartment,duplex,for-sale,3900,https://www.immoweb.be/en/classified/duplex/for-sale/overpelt/3900/9862290?searchId=633aeaf0f074c,not mentioned,0,0,0,,0,3,3,Hyper equipped,,0,0,na,0,1.0
0,0,dour,apartment,ground-floor,for-sale,7370,https://www.immoweb.be/en/classified/ground-floor/for-sale/dour/7370/9882899?searchId=633aeaf0f074c,good,0,0,0,116050,0,2,1,,48,,0,numeric,0,
0,8,liege,apartment,flat-studio,for-sale,4020,https://www.immoweb.be/en/classified/flat-studio/for-sale/liege/4020/10013162?searchId=633aeaf0f074c,not mentioned,1,0,0,119000,0,2,,Not installed,60,0,0,numeric,0,0.0
0,0,leopoldsburg,apartment,apartment,for-sale,3970,https://www.immoweb.be/en/classified/apartment/for-sale/leopoldsburg/3970/10108515?searchId=633aeaf0f074c,not mentioned,0,0,0,,0,,2,,88,,0,numeric,0,
0,0,liege,apartment,apartment,for-sale,4020,https://www.immoweb.be/en/classified/apartment/for-sale/liege/4020/10054773?searchId=633aeaf0f074c,as new,0,0,0,125000,0,2,1,,45,1,0,numeric,0,
0,0,liege,apartment,apartment,for-sale,4020,https://www.immoweb.be/en/classified/apartment/for-sale/liege/4020/10054772?searchId=633aeaf0f074c,as new,0,0,0,125000,0,2,1,,45,1,0,numeric,0,
0,0,oudenaarde,apartment,apartment,for-sale,9700,https://www.immoweb.be/en/classified/apartment/for-sale/oudenaarde/9700/9901992?searchId=633aeaf0f074c,not mentioned,0,0,0,155000,0,3,2,,95,,0,numeric,0,
0,0,gent,apartment,ground-floor,for-sale,9000,https://www.immoweb.be/en/classified/ground-floor/for-sale/gent/9000/8688292?searchId=633aeaf0f074c,not mentioned,0,0,0,,0,2,2,Installed,80,0,0,numeric,0,1.0
0,0,verviers,apartment,duplex,for-sale,4800,https://www.immoweb.be/en/classified/duplex/for-sale/verviers/4800/9996834?searchId=633aeaf0f074c,good,0,0,0,169000,0,2,2,,106,0,0,numeric,0,
0,3,oostende,apartment,apartment,for-sale,8400,https://www.immoweb.be/en/classified/apartment/for-sale/oostende/8400/9548115?searchId=633aeaf0f074c,not mentioned,1,0,0,170000,0,,2,,75,,0,numeric,0,
